example_id                                                         | status | run_time        |
./spec/models/portfolio_spec.rb[1:2:2]                             | passed | 0.00521 seconds |
./spec/models/portfolio_spec.rb[1:3:1]                             | passed | 0.04354 seconds |
./spec/models/portfolio_spec.rb[1:3:2]                             | passed | 0.04289 seconds |
./spec/models/portfolio_spec.rb[1:3:3]                             | passed | 0.04295 seconds |
./spec/models/portfolio_spec.rb[1:4:1]                             | passed | 0.00647 seconds |
./spec/models/portfolio_spec.rb[1:4:2]                             | passed | 0.00628 seconds |
./spec/models/portfolio_spec.rb[1:4:3]                             | passed | 0.00705 seconds |
./spec/models/portfolio_spec.rb[1:5:1]                             | passed | 0.00783 seconds |
./spec/models/session_spec.rb[1:1:1]                               | passed | 0.00679 seconds |
./spec/models/session_spec.rb[1:1:2]                               | passed | 0.01151 seconds |
./spec/models/session_spec.rb[1:1:3]                               | passed | 0.01696 seconds |
./spec/models/session_spec.rb[1:1:4]                               | passed | 0.00725 seconds |
./spec/models/session_spec.rb[1:2:1]                               | passed | 0.00764 seconds |
./spec/models/session_spec.rb[1:2:2]                               | passed | 0.00535 seconds |
./spec/models/session_spec.rb[1:2:3]                               | passed | 0.0056 seconds  |
./spec/models/session_spec.rb[1:2:4]                               | passed | 0.006 seconds   |
./spec/models/session_spec.rb[1:3:1]                               | passed | 0.01552 seconds |
./spec/models/session_spec.rb[1:3:2]                               | passed | 0.01571 seconds |
./spec/models/session_spec.rb[1:4:1]                               | passed | 0.03411 seconds |
./spec/models/session_spec.rb[1:4:2]                               | passed | 0.03656 seconds |
./spec/models/session_spec.rb[1:4:3]                               | passed | 0.03345 seconds |
./spec/models/session_spec.rb[1:5:1]                               | passed | 0.00555 seconds |
./spec/models/session_spec.rb[1:5:2]                               | passed | 0.00555 seconds |
./spec/models/session_spec.rb[1:5:3]                               | passed | 0.00705 seconds |
./spec/models/session_spec.rb[1:6:1]                               | passed | 0.01298 seconds |
./spec/models/session_spec.rb[1:7:1]                               | passed | 0.00688 seconds |
./spec/models/session_spec.rb[1:7:2]                               | passed | 0.00805 seconds |
./spec/models/session_spec.rb[1:7:3]                               | passed | 0.00785 seconds |
./spec/models/skill_taxonomy_spec.rb[1:1:1]                        | passed | 0.00928 seconds |
